"MERIT"	"COMID"	"forest_mean"	"shrub_mean"	"grass_mean"	"wetland_mean"	"crop_mean"	"urban_mean"	"crop_nat_mean"	"ice_mean"	"barren_mean"	"water_mean"	"MAP"	"MAT"	"porosity"	"perm_harm_m2perd"	"aqf_thick_m"	"sand_mean"	"soc_mean"	"cec_mean"	"bdod_mean"	"nitrogen_mean"	"mean_elev"	"mean_slope"	"stream_density_perkm"	"max_order"	"order1_per"	"area_km2"	"mean_nit"
7	73016953	6.01786364505608	0	69.3470083087676	0.167953233387668	23.4290333983863	0	1.03814141440247	0	0	0	1253.97538022659	18.5777697704136	0.203419967712673	8.60755908984907e-14	333.178013903498	65.0002191885426	3.71137235390884	4.84782139694153	1.67020630062405	0.335330854690716	111.523958535196	1.18505054766846	0.164815991648927	2	28.1118139415297	165.829711098908	0.4360809315
7	78003046	16.4527563896239	0.0412726392266129	37.0708079200666	4.93801324001255	0	0	0	28.2897560196127	13.1919260122553	0.0154677792023228	3827.49371167267	0.169449429854609	0.0717725413932504	1.29008176562007e-14	200	53.9446390289454	71.2823533715838	22.8200076637409	1.14384883099026	3.37632366923829	996.749977435083	44.9657963353759	0.167952831565164	3	68.7934110274952	333.776156121457	0.13002195675
8	82037800	52.4044552839362	0.107579526309658	42.953583232786	0.494241186052	1.00013588312489	0.0284256345447074	0.250624595439933	0.209288377018049	1.07033681049642	1.48132947029221	896.024981016095	-0.226116060671598	0.137160977880224	3.98479685013232e-15	205.6304893518	36.7938487244054	19.5704242838094	21.408231449689	1.35086514874225	1.91647992895624	1144.44348815759	18.2818534507461	0.176461962101651	6	47.089324899846	121546.130426481	0.0527715726
7	78002134	28.7410054552748	0.339226111945583	38.4595645142628	3.36487971815309	0	0	0	16.0662298336221	12.3646132842819	0.664481082459719	2030.73159450527	-1.78683719213619	0.093586530613401	1.79905235668729e-14	200	53.9900069432196	57.2821861698395	22.6957302282185	1.18644026939929	2.95147028282092	1223.22055811731	32.0492645446516	0.16591920179506	4	46.1883701991931	9541.98587206478	0.117961566692308
7	78003044	20.9143849735602	0.130343360188607	18.4202548792294	3.4254091872153	0	0	0	48.3878857068328	8.4419645044635	0.279757388510195	3194.54254500424	-1.24885860206477	0.0923564454468051	1.77017753455722e-14	200	53.7367738576529	62.7006220398851	21.8968140955359	1.15596333322472	3.2784083730704	1255.20512330454	39.7760350578853	0.149708098741346	3	47.9044485970107	726.745088126572	0.117075619666667
7	78004254	61.020537326676	0.0164001794283864	32.3252336907395	0.977084555073899	0.00014420299931523	0.0166179643004546	0.00038100230160729	1.20508915717366	3.06327208500352	1.37523983630362	1185.2339786509	0.537344697063684	0.12718946858238	2.93499120471094e-15	201.741792108314	44.6579680539291	23.918261737443	20.1538822768445	1.28217897311373	2.33474787400641	1118.36850874137	21.827837354542	0.164622691380145	5	49.335103051667	41966.4188813003	0.077989925475
7	78011404	85.8951027959606	0	13.4460931169289	0.203823381591146	0	0	0	0	0	0.454980705519364	2034.02853514104	7.66736259897054	0.093175393392189	8.28193749633526e-15	197.282721343808	36.3326755040922	21.6976448084922	19.9919498100984	1.30347104498021	1.80841906995276	464.744608930806	12.1836045839658	0.212190976560412	2	49.6432254457655	295.221784252577	0.1149793092
7	78004680	50.488032229213	0.0285349200061524	40.4805360100133	0.642612376496277	0.00209777300773875	0.0115215955337416	0.00010173754397443	2.09147039292726	6.10234327004925	0.152749695209352	1334.24752243894	-0.0713325215990194	0.148428808907891	8.51156343176361e-15	198.477563984802	37.2093842187272	17.7639938667873	18.9180731532702	1.34024943903643	2.15240212463666	1465.00517772497	30.1596691024832	0.174162053356789	5	43.8518477507421	18033.7985747591	0.1024387938
7	78006299	20.732682341018	0.0431389001892652	60.549931660379	1.41414355283812	0	0	0	1.58031385534739	14.9976395601839	0.682150130044284	1063.49618317513	-2.55090130071406	0.184035379678913	9.02484921703174e-15	200	44.7657029685331	17.9074938014979	17.9689185155737	1.32706431734769	2.05363738487596	1903.47519383409	36.4577886351256	0.154882774682054	4	47.5257164228002	1807.06864403354	0.0607941641491936
7	78005152	44.6216044096374	0.0150351928730991	47.7379329501307	1.07789392867359	0.374372761764239	0.0242285237571161	0.134182088837563	0.170531493650282	0.879820392969349	4.96439825770667	804.684675505446	2.59312554670517	0.0818507324970386	2.1147421334846e-14	195.983343800896	36.65706495343	14.2031603825472	22.1245177618138	1.37037119053196	2.14333833732531	997.304065518561	9.31927026397903	0.175838378025866	5	50.9762157435995	47608.0416293969	0.0177090624955752
