"MERIT"	"COMID"	"forest_mean"	"shrub_mean"	"grass_mean"	"wetland_mean"	"crop_mean"	"urban_mean"	"crop_nat_mean"	"ice_mean"	"barren_mean"	"water_mean"	"MAP"	"MAT"	"porosity"	"perm_harm_m2perd"	"aqf_thick_m"	"sand_mean"	"soc_mean"	"cec_mean"	"bdod_mean"	"nitrogen_mean"	"mean_elev"	"mean_slope"	"stream_density_perkm"	"max_order"	"order1_per"	"area_km2"
8	85005887	0	0	67.5038257268881	0	0	0	0	1.48528220361869	31.0108920694932	0	486.779771706736	-11.9169199929223	0.124545452947	1.58489312932733e-15	253.8333333335	47.7370150862069	59.4599066091954	28.4310272988505	1.39336422413793	2.33763864942529	549.717486837976	17.4520247981789	0.105870608826775	1	100	43.4794910825158
2	24019792	73.8156909128048	0	24.3653469949648	1.48474217927548	0.0154392076300453	0	0.0719811086548321	0	0	0.246799596670054	731.765109788583	4.29714223669777	0.133834876097599	1.55591981410834e-14	229.481675004336	47.9050940466682	79.0167333223555	22.8946015345877	1.31973630047169	2.93385665135113	172.264929020169	1.47663252738121	0.201977498455368	3	44.4314473850128	2501.33227674788
4	46034450	0	0.211371835146218	50.3265605661259	0.463990350615694	25.5076050360781	5.8031357769091	0	0	17.1243625794268	0.562973855698216	112.540156790153	13.5614714126586	0.192553963522867	4.72745410141718e-15	399.480177183527	19.4386548027844	5.49624532772826	17.4716368484956	1.52809714636454	0.741629867620455	107.7830348069	0.663024414343193	0.247356931178027	3	43.8793144544102	1147.95331941313
4	44024174	19.047619047619	0	79.1534391534392	0	1.7989417989418	0	0	0	0	0	1226.96217430628	25.341912198648	0.124615383979	1.1121255083721e-14	200	28.7909540229885	7.99070114942529	14.4899195402299	1.34506896551724	0.836407471264367	371.694755786426	15.5752821129917	0.0380310896624576	1	100	27.226736781823
7	74046783	31.1399711399711	0	68.8600288600289	0	0	0	0	0	0	0	1211.67314233919	13.542582422332	0.0823018860283	2.90667232739609e-13	189.785714286	16.2309645232816	5.67401884700665	19.1939800443459	1.6334512195122	0.79454157427938	297.663067629764	2.58234221047037	0.109560646336144	1	100	27.9589109988966
5	56165155	0	0	99.7633836143153	0	0.236616385684709	0	0	0	0	0	655.303375494203	12.1482586797385	0.158517350434	2.20243056601136e-14	303.55	45.979704595186	5.47470459518599	19.2891684901532	1.38653555798687	0.553033369803063	763.468537125956	4.28013392621599	0.100518513997489	1	100	28.5401072260928
6	61022786	89.1215106732348	0	10.8784893267652	0	0	0	0	0	0	0	6553.5	25.5290307538472	0.126249998885333	7.10375030708629e-14	240.308888888667	34.1901207115629	247.742725540025	16.610165184244	1.14104224904702	2.44326302414231	82.1414596137126	2.82532695442336	0.280761356415992	1	100	49.0771084229672
7	74041638	0	0	65.9020791415158	0	34.0979208584842	0	0	0	0	0	753.85493148237	12.3359254133588	0.1278935379955	5.25695738448785e-16	216.1371058555	7.71362023305085	5.17596133474576	20.7001403601695	1.6712592690678	0.865186705508475	539.778510136575	1.9970813113101	0.225361705414348	1	100	58.6803767979907
1	12053038	0	0	100	0	0	0	0	0	0	0	418.57301658642	20.770798840136	0.162777778175333	3.78013220165154e-14	336.637518037667	63.8175657894737	2.55530427631579	8.84770148026316	1.55053741776316	0.373747121710526	1144.37659677042	0.657405747471767	0.157633775620766	1	100	38.1549129179882
4	46009129	0	0.0108937345917593	99.0289121563509	0	0	0	0	0	0.960194109057334	0	203.609221602806	6.61760083921416	0.117705458846117	2.26342482455821e-14	251.960528305695	35.6017024036764	11.3710761392448	21.6949013709803	1.49752061492692	0.968246199419758	439.34764430411	0.834199502973127	0.268097449122883	4	47.3277281590717	1584.14068043753
5	51004925	23.3904761904762	0	64.6857142857143	0	2.13333333333333	2.4	7.39047619047619	0	0	0	3034.18300788572	23.8989186595709	0.0912775733193	1.98319001780408e-14	277.1363636365	30.0768810096154	29.5113040865385	11.2487560096154	1.19638822115384	0.990578725961537	524.570204978222	6.49928319776965	0.0689000480386191	1	100	26.5306736578483
6	65016758	0	9.67647333901542	89.0301786162298	0	1.22414879297563	0	0	0	0.0691992517791704	0	548.105396800012	15.1197320556691	0.080588236232	2.54613963979431e-14	210.173913043	68.9657335063212	5.72205479229104	16.8650883309503	1.37386779724613	0.63996596510518	236.095357366365	1.20909155331158	0.17039406954054	2	31.917699115727	218.136072815759
2	23026350	1.17785630153121	0	98.7380111055023	0.0841325929665152	0	0	0	0	0	0	1286.82778173858	7.64218354714033	0.135463916457	2.44134327920104e-15	200	44.0685227272727	22.0896108815427	21.8708023415978	1.37518044077135	1.68838980716253	1509.53248130856	22.8546478282481	0.136391639344931	1	100	45.0466498793448
