"MERIT"	"COMID"	"mean_nit"	"sd_nit"
8	85005887	0.119616581761032	0.0277614840438379
2	24019792	0.0768707012043778	0.016152387798998
4	46034450	1.64880101275703	0.354141685427536
4	44024174	0.56445589864365	0.109720607252864
7	74046783	0.428353939846191	0.0771615070616514
5	56165155	0.366869468287833	0.0892939533142526
6	61022786	0.122940815559342	0.0268171186575197
7	74041638	0.822576816258004	0.143226021788189
1	12053038	0.197030355364473	0.0527205818413378
4	46009129	0.48604821139951	0.117639808594919
5	51004925	0.329496131659188	0.0581418497049557
6	65016758	0.328526570937837	0.0875080706634818
2	23026350	0.172608664765315	0.0393207409381135
4	49001111	0.311934021206305	0.0883197761366472
4	45041747	1.47348636035455	0.362297881563236
3	34016431	0.10969971017149	0.0307438297543068
2	28032532	0.634456149434219	0.159667331346227
3	32045245	0.0663171178411631	0.0184942421518597
1	14012864	0.94671807648197	0.248897907022251
7	75012729	0.669147053956107	0.163765236452311
5	52015691	0.132774165987997	0.0323391780013488
2	23029517	1.24183997031776	0.231539236331136
4	43045073	1.10732726895729	0.227124406006167
7	71023528	0.398844523743621	0.0703400157041317
4	47007261	0.243774163845434	0.0662019869311799
7	77056406	0.606701619481501	0.120433827543062
4	42046137	0.774092054644397	0.153707420559555
5	56120471	0.512083171997038	0.172251230561963
5	56067985	0.341753260471635	0.121442468213668
2	29072216	0.711119041515184	0.190639603035015
1	18003096	0.12976567257336	0.0281169668640397
6	64022516	0.415527575446337	0.0992151411282879
6	62109618	0.167803987455769	0.0353115533554864
2	29083382	1.66116610340843	0.418402056665976
1	12041675	0.333565333089595	0.0999645226044721
1	11067840	0.187770488113266	0.0475971111148409
7	71020794	0.772205711810354	0.16823988602459
2	25010526	0.652568705299294	0.154822207839418
5	56051849	0.20742889163086	0.0606032212904591
1	16042793	0.850151704178373	0.165277278314073
7	74010914	1.19134844872526	0.264083098722689
3	31031956	0.102631159165239	0.0238534217512567
2	29098566	0.538147431725821	0.156660347984606
6	61042156	0.101758049003293	0.0163843222797801
6	61015108	0.333668725577693	0.0587502277430052
8	86003484	0.19538800435145	0.0540434387642665
5	56106135	0.29747280304358	0.11203748017563
4	47029290	0.845352185311679	0.224990894019353
6	64042758	0.709353609278471	0.127967599452136
6	62082484	0.263643847873601	0.0545152477124804
1	13028831	0.108877049482531	0.024047625526112
3	35042086	0.114904952022552	0.0287598883124524
5	53016556	0.122586327629469	0.0295205237743688
8	83005980	0.0437309131534535	0.0111530270006996
1	15030419	0.638351958862623	0.135196689973748
1	14082484	0.254140487353527	0.0384249095366338
2	28044932	0.708734459262688	0.226244370549188
4	45059799	1.25634171173339	0.284433539680238
1	12080455	1.27249511624084	0.290313561417769
3	35014674	0.0762873498188491	0.0246367879304981
6	64032109	0.282134987944279	0.0844022937802688
5	56169439	0.125977741600974	0.0291104377929925
4	44041933	0.219538728715765	0.0394718634845507
6	65009206	0.751973848236998	0.14225783739362
6	62074280	0.0837710041166456	0.0232684361591749
2	29021760	0.545556668967538	0.153173228646459
6	62057392	0.112084105339366	0.0257660516999329
4	42029860	0.0920099916149591	0.0190094938026049
1	15140052	0.538410239676588	0.151578469831611
7	75000022	0.107101953119833	0.0153686540373129
5	56027722	0.333933024130535	0.109704482915281
6	63015940	1.15035911069672	0.292493084242593
5	56156946	0.521259250047824	0.154324846788639
4	45022204	0.0742299750567258	0.0188931195694389
1	16012453	0.497754051326288	0.157801133326456
1	15039164	0.684785301720892	0.195895173556634
5	56055633	0.487524754035269	0.162282394847345
1	14037073	0.483235571220727	0.113177499328562
7	74072445	0.272061755900142	0.0728477990854822
1	12095583	0.369568534353445	0.121404387274587
7	78027313	1.88501699848309	0.402251865426472
4	43055384	0.076243051662945	0.0131429857815439
4	43082973	0.395693431104153	0.0723961223028597
6	62078887	0.118210079492701	0.0225072757193137
7	74065972	0.325411203861841	0.0444006051115219
2	29043450	0.56412841613876	0.133607638031711
8	82039871	0.0824078922051245	0.0128562187823758
4	43020501	2.1867544715892	0.448312464141997
5	51006109	0.220626829589297	0.0520033925737044
7	77016859	0.236327572333785	0.0633568675248778
2	28068818	1.35711628113332	0.309348699336468
5	57001511	0.156771712932976	0.0239042321503087
3	34006858	0.100422095516224	0.0319226181399207
8	82038568	0.429577100807812	0.106600679306231
3	34008770	0.0536477915104338	0.014643695991295
2	28064681	0.553639085926699	0.103059492527076
3	31032398	0.090062171197144	0.0221858856470777
4	43088247	0.279955647819703	0.0445146197405869
7	74032637	1.02755288468789	0.161281590484018
2	29013334	0.469859493953804	0.126300688427579
2	29089428	0.842751359614876	0.212512347999399
3	32015750	0.0679777001528151	0.015151466565161
5	56135525	0.319163629326238	0.0986809210586307
7	74018519	6.53162897987992	1.14459891441483
7	72024502	0.0445602580737476	0.0101939890142277
2	29097679	0.933454857401219	0.268757402423154
4	41007159	0.983980320286861	0.206954184506726
1	15103120	0.678605849482394	0.221998421668759
1	17008390	0.535809387223209	0.163951303064468
5	56059691	0.432946433612418	0.152898444417415
3	31062785	0.286044125098667	0.0707526027141216
5	52000019	0.226812539457449	0.0373151133447234
7	75039912	0.497472590254536	0.100470696677671
8	82013035	0.0501475294167277	0.0159240158432199
2	29048628	0.615332972893264	0.155338508886289
7	72045709	0.300276887514188	0.0666386603218079
6	64036431	0.468738072856356	0.0924359863734391
6	64021239	0.239609141565697	0.0514350037926553
3	35061180	0.164652681099228	0.0352659111347797
1	11017627	0.601162274274737	0.153928256396881
8	82033456	0.0649433951660621	0.0167333641460296
2	24019853	0.2940390136713	0.0617442238671714
1	16023996	0.915604308650991	0.259674594055504
6	62020628	0.0945575622866229	0.0231179206484682
5	56044236	0.542828643039118	0.183061749100477
4	47030773	1.2159022148103	0.347106902329071
5	56003282	0.197397417315086	0.0524796453086486
7	75012681	0.807105769021144	0.227052431686977
3	31037586	0.156500236396672	0.0325513345136072
1	12027685	0.207568902678356	0.0431466268467359
1	12076630	0.436078224410115	0.115448082527642
6	62070788	0.097286929989101	0.0240818145717805
3	32047007	0.0985175880000597	0.0181582371651678
