"site_id"	"country"
"520380"	"India"
"520393"	"India"
"520403"	"Nepal"
"520405"	"India"
"520432"	"India"
"520433"	"India"
"520435"	"India"
"520436"	"India"
"520438"	"India"
"520440"	"India"
"520442"	"India"
"520443"	"India"
"520444"	"India"
"520445"	"India"
"520446"	"India"
"520447"	"India"
"520448"	"India"
"520449"	"India"
"520450"	"India"
"520452"	"India"
"520454"	"India"
"520458"	"India"
"520460"	"India"
"520461"	"India"
"520462"	"India"
"520463"	"India"
"520464"	"India"
"520465"	"India"
"520006"	"Nepal"
"520879"	"India"
"520880"	"India"
"520881"	"India"
"520883"	"India"
"520884"	"India"
"520885"	"India"
"520886"	"India"
"520887"	"India"
"520888"	"India"
"520889"	"India"
"520890"	"India"
"520891"	"India"
"520892"	"India"
"520893"	"India"
"520894"	"India"
"520895"	"India"
"520896"	"India"
"520897"	"India"
"520899"	"India"
"520900"	"India"
"520878"	"India"
"520877"	"India"
"520876"	"India"
"520863"	"India"
"520869"	"India"
"520862"	"India"
"520861"	"India"
"520860"	"India"
"520859"	"India"
"520857"	"India"
"520856"	"India"
"520855"	"India"
"520865"	"India"
"520847"	"India"
"520846"	"India"
"520845"	"India"
"520844"	"India"
"520853"	"India"
"520852"	"India"
"520843"	"India"
"520842"	"India"
"520841"	"India"
"520840"	"India"
"520850"	"India"
"520849"	"India"
"520839"	"India"
"520838"	"India"
"520872"	"India"
"520871"	"India"
"520836"	"India"
"520835"	"India"
"520834"	"India"
"520833"	"India"
"520832"	"India"
"520831"	"India"
"520830"	"India"
"520829"	"India"
"520828"	"India"
"520827"	"India"
"520826"	"India"
"520825"	"India"
"520824"	"India"
"520823"	"India"
"520754"	"India"
"520753"	"India"
"520731"	"India"
"520732"	"India"
"520729"	"India"
"520728"	"India"
"520755"	"India"
"520734"	"India"
"520724"	"India"
"520725"	"India"
"520726"	"India"
"520727"	"India"
"520757"	"India"
"520756"	"India"
"520144"	"Nepal"
"520074"	"Nepal"
"520087"	"Bangladesh"
"201840"	"Peru"
"201842"	"Peru"
"201845"	"Ecuador"
"201848"	"Colombia"
"201849"	"Brazil"
"201860"	"Brazil"
"201863"	"Brazil"
"201875"	"Bolivia"
"201885"	"Brazil"
"201891"	"Brazil"
"201897"	"Brazil"
"201898"	"Brazil"
"201902"	"Suriname_France"
"201903"	"France_Brazil"
"201904"	"Venezuela"
"120015"	"Canada"
"120017"	"Canada"
"120023"	"Canada"
"120002"	"Canada"
"120003"	"Canada"
"201841"	"Peru"
"201843"	"Ecuador"
"201844"	"Ecuador"
"201846"	"Ecuador"
"201847"	"Ecuador"
"201850"	"Brazil"
"201851"	"Brazil"
"201854"	"Brazil"
"201856"	"Brazil"
"201857"	"Brazil"
"201858"	"Brazil"
"201862"	"Brazil"
"201873"	"Bolivia"
"201874"	"Bolivia"
"201877"	"Bolivia"
"201879"	"Bolivia"
"201881"	"Brazil"
"201882"	"Brazil"
"201886"	"Brazil"
"201887"	"Brazil"
"201888"	"Brazil"
"201890"	"Brazil"
"201892"	"Brazil"
"201899"	"Brazil"
